"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"122525",3.52735441658135,-0.887435057422969,0.697239620683527,-1.2727834608036,0.203094891709724,0.303288371619855
"55102",412.607879129318,-0.880915780433987,0.140260751881845,-6.28055795092319,3.37360099543862e-10,5.80539820464336e-09
"51016",278.963431261046,-0.876459445298556,0.171960749160328,-5.09685756533537,3.45337959606685e-07,3.29173204050628e-06
"283596",77.4942204410022,0.875541553881386,0.232175763794369,3.77102906682726,0.000162575732903335,0.000714058120987196
"60485",235.494633614731,0.864454530417008,0.167142424890047,5.17196355734147,2.3164676942387e-07,2.25603810221508e-06
"9787",449.732534427427,0.852685479266412,0.168171590857491,5.07033010105124,3.97126295542903e-07,3.70651209173376e-06
"9870",1192.41922715277,-0.849621050535841,0.118733863130534,-7.15567596416687,8.3261609148454e-13,1.77624766183369e-11
"55727",396.983610074766,0.847078271118886,0.148688222217879,5.69700988069942,1.21926864055903e-08,1.70697609678264e-07
"643866",29.8986180482568,-0.841230916054162,0.339840518976871,-2.47536967806778,0.0133098327193585,0.0305784874783211
"10965",407.735439529025,-0.838800199151072,0.156233440131432,-5.36889028651885,7.9222592850066e-08,8.8729303992074e-07
"22863",204.054348536117,0.836528646902067,0.180364617893545,4.63798641148013,3.51819910512514e-06,2.58385770343617e-05
"55745",166.358100525616,-0.827760294086051,0.188966118115341,-4.3804693790704,1.18423934203653e-05,7.68897427872991e-05
"79609",45.6179984660877,0.82409110067801,0.287266822033321,2.8687305232291,0.00412122756848354,0.0120673852985662
"1397",1966.60401305455,-0.822542701404016,0.168169908806144,-4.89114079470778,1.00253217134125e-06,8.47423420303551e-06
"4253",154.936826325271,-0.815084188732455,0.212228713883587,-3.84059335712485,0.000122737283887363,0.000572773991474363
"161394",5.22258593152774,-0.806396187420136,0.637288592668533,-1.2653548120852,0.20574416610269,0.305209888788096
"2342",24.5550647317514,0.806091130810016,0.390961291856742,2.06181826078421,0.0392250418626059,0.0757449084243425
"55644",385.073371542473,0.800991096574132,0.147672584132224,5.42410157769659,5.82467535549846e-08,6.86698568227187e-07
"283554",59.938691282558,-0.796349135190337,0.267164280867933,-2.98074702427753,0.00287546221876165,0.00876331342860692
"11099",468.355626236144,0.79598401810395,0.132593638853168,6.00318405157739,1.9348507539127e-09,2.96643849785836e-08
"55775",317.34226625771,0.795795937459591,0.144087883201904,5.52298999593516,3.33278718861787e-08,4.34393591504787e-07
"10516",313.360473673507,-0.788295129976791,0.157116393502735,-5.01726848741007,5.24113000303989e-07,4.69605248272374e-06
"64423",3154.45957727645,-0.783851075312696,0.165179220758605,-4.74545812550008,2.08034949164283e-06,1.63508170571226e-05
"123036",12.0736511733874,0.781246766183047,0.498774220877891,1.56633349014706,0.117270564564647,0.189665028609971
"161436",32.6827330441306,0.780582192381665,0.334955368955764,2.33040656973244,0.0197846728755009,0.0432367485279239
"122706",0.477524391504373,-0.777838058677479,0.605830758098615,-1.28391972226485,0.199170045725382,NA
"1053",0.500433314666908,-0.777667505227457,0.605897412145765,-1.28349699080802,0.199318013158563,NA
"8812",589.050177970424,0.767404264778082,0.128940889603387,5.95159741132982,2.65537899966118e-09,3.83745094144584e-08
"57820",461.320081323437,0.761338992960825,0.138424726432583,5.50002165495788,3.79744608355319e-08,4.72571068175508e-07
"57570",181.225063317447,0.759943670172124,0.193798351453344,3.92131132423527,8.80683916950211e-05,0.000448348175901926
